codigo_osinergmin,marca,zona,distrito,direccion,lat,lon,premium_lista,descuento,premium_final,regular_lista,diesel_lista
"6788","AVA (Global Fuel)","LIMA","SURQUILLO","AV. REPUBLICA DE PANAMA N° 4101 ESQ. AV. TOMAS MARSANO","-12.105869","-77.01822","23.59","0","23.59","21.59","26.99"
"21054","AVA (Global Fuel)","LIMA","SANTIAGO DE SURCO","AV. SANTIAGO DE SURCO N° 3291, ESQUINA CON LOS ALAMOS LOTES 4 Y 5","-12.131597","-76.998985","23.59","0","23.59","21.59","26.99"
"8224","AVA (Global Fuel)","LIMA","BREÑA","ESQUINA AV. ZORRITOS Y AV. TINGO MARÍA","-12.049272","-77.0536","23.59","0","23.59","21.99","26.99"
"6765","COESTI (Primax)","LIMA","SAN ISIDRO","AV. REPUBLICA DE COLOMBIA N° 105-109","-12.098619","-77.03222","24.69","1","23.69","22.69","25.89"
"8247","COESTI (Primax)","LIMA","MIRAFLORES","AV. EL EJERCITO N° 412-422","-12.116534","-77.04502","24.69","1","23.69","22.69","25.39"
"18550","Repsol","LIMA","CHORRILLOS","AV. ALAMEDA SUR INTERSECCIÓN CON LA AV. SAN MARCOS TERCERA ETAPA, SECTOR 2, MZ. C3-1, LT. 1","-12.196624","-77.01056","26.75","3","23.75","23.99","27.99"
"9488","AVA (Global Fuel)","LIMA","BARRANCO","AV. BOLOGNESI CUADRA 8, ESQ. CON CALLE TIRAVANTI","-12.142791","-77.01802","23.89","0","23.89","21.89","26.99"
"9220","AVA (Global Fuel)","LIMA","SURQUILLO","AV. ANDRÉS ARAMBURÚ N° 904 - 908","-12.102356","-77.02093","23.99","0","23.99","21.99","26.99"
"83435","AVA (Global Fuel)","LIMA","LA VICTORIA","AV. BAUZATE Y MEZA N° 1050","-12.063762","-77.02077","23.99","0","23.99","21.99","26.99"
"8539","Repsol","LIMA","SAN MIGUEL","AV. LA MARINA N° 2530","-12.077632","-77.08987","26.99","3","23.99","23.49","27.99"
"14693","Repsol","LIMA","SAN ISIDRO","AV. JOSE GALVEZ BARRENECHEA Nº 211 ESQUINA CON AV. DEL PARQUE NORTE Nº 590","-12.092049","-77.01356","26.99","3","23.99","23.99","27.99"
"16640","Repsol","LIMA","SAN ISIDRO","AV. DEL PARQUE SUR N° 285 ESQ. AV. GUARDIA CIVIL","-12.102648","-77.01493","26.99","3","23.99","23.99","27.99"
"21001","Repsol","LIMA","SAN ISIDRO","AV. GUARDIA CIVIL N° 1109 ESQ. CON AV. DEL PARQUE SUR N° 314","-12.103661","-77.0148","26.99","3","23.99","23.99","27.99"
"17953","Repsol","LIMA","MIRAFLORES","AV. ROOSEVELT N° 5672 ESQ. AV. MONSEÑOR ROCA Y BOLOÑA N° 385","-12.120389","-77.01804","26.99","3","23.99","23.99","27.99"
"9507","Repsol","LIMA","MIRAFLORES","AV. ROOSEVELT N° 6471, 6475, 6479, 6481, 6483, 6485, 6489, 6491 Y AV. 28 DE JULIO N° 1541","-12.130307","-77.017845","26.99","3","23.99","23.99","27.99"
