Nombre,Latitude,Longitude,Marca,Distrito,Zona,Direccion,Premium_con_descuento,Premium_lista,Descuento,Regular_lista,Diesel_lista,Codigo_Osinergmin,Actualizado
"Primax S/ 21.69","-11.981011","-77.124756","Primax","CALLAO","Callao","AV. NÉSTOR GAMBETTA ESQUINA CALLE Nº 01 MZ A LOTES 01 Y 02 PROGRAMA DE VIVIENDA “ACUARIO”","21.69","22.69","1.00","21.19","25.99","158979","2026-09-23"
"Primax S/ 21.69","-11.964085","-77.12633","Primax","CALLAO","Callao","AV. NESTOR GAMBETTA Y AV. LOS ALISOS MZ. A LOTES 06 Y 07 SECCION C PARCELA 2, EX FUNDO OQUENDO KM 8.5 CARRETERA A VENTANILLA","21.69","22.69","1.00","21.19","25.99","147378","2026-09-23"
"Primax S/ 21.69","-11.985128","-77.12203","Primax","CALLAO","Callao","MZ D. LOTE 1, URB. PROGRESIVA LAS ORQUIDEAS II ETAPA","21.69","22.69","1.00","21.19","25.99","171382","2026-09-23"
"Primax S/ 21.75","-11.920835","-77.06222","Primax","COMAS","Lima","AV. HEROES DEL ALTO CENEPA N° 697, LOTIZACIÓN FUNDO CHACRA CERRO","21.75","22.75","1.00","21.35","26.99","9513","2026-09-23"
"Primax S/ 21.79","-12.223733","-76.90836","Primax","VILLA MARIA DEL TRIUNFO","Lima","AV. LIMA N° 2000, P.J. VILLA POETA JOSE GALVEZ PARCELA B MZ. 159, LOTE 4","21.79","22.79","1.00","21.59","25.09","104953","2026-09-23"
"Primax S/ 21.79","-12.074983","-77.00141","Primax","SAN LUIS","Lima","AV. SAN JUAN N° 895","21.79","22.79","1.00","21.39","25.38","19980","2026-09-23"
"Primax S/ 21.79","-12.061642","-77.01927","Primax","LA VICTORIA","Lima","AV. 28 DE JULIO N° 2200","21.79","22.79","1.00","21.49","26.39","9518","2026-09-23"
"Primax S/ 21.79","-11.990666","-76.82071","Primax","CHACLACAYO","Lima","AV. NICOLAS AYLLON N° 1500","21.79","22.79","1.00","21.49","24.49","15664","2026-09-23"
"Primax S/ 21.79","-12.002668","-76.84133","Primax","ATE","Lima","CARRETERA CENTRAL KM. 16 (AV. NICOLAS AYLLON S/N, MZ. A, LOTE 1) PROGRAMA DE VIVIENDA LAS PRADERAS","21.79","22.79","1.00","21.49","24.49","42387","2026-09-23"
"Primax S/ 21.89","-12.078712","-77.01092","Primax","LA VICTORIA","Lima","AV. AVIACION S/N, ALTURA CDRA. 15, OVALO ARRIOLA","21.89","22.89","1.00","21.49","25.39","33342","2026-09-23"
